Codigo de variable,Innovación,Categoría,,Clave formas de capital social,,,,
Agricultura_contrato_18,Agricultura por contrato,Diversificación y acceso a nuevos mercados,,0 = Ausente,,,,
Análisis_suelo_18,Análisis suelo,Herramientas de diagnóstico,,1 = Apego,,,,
Análisis_foliar_18,Análisis foliar,Herramientas de diagnóstico,,2 = Enlace,,,,
Asociación_cultivos_18,Asociación de cultivos,Diversificación y acceso a nuevos mercados,,3 = Interface,,,,
Azufre_18,Azufre,Fertilización integra,,4 = Apego y enlace,,,,
Biofertilizantes_18,Biofertilizantes,Fertilización integra,,5 = Apego e interface,,,,
Bioinsecticidas_18,Bioinsecticidas,Manejo integral de plagas,,6 = Enlace e interface,,,,
Cal_micronizada_18,Cal micronizada,Fertilización integra,,"7 = Apego, enlace e interface",,,,
Camas_permanentes_18,Camas permanentes,Agrucultura de conservación,,,,,,
Certificación_productos_18,Certificación orgánica de productos,Diversificación y acceso a nuevos mercados,,,,,,
Composta_18,Composta,Fertilización integra,,,,,,
Control_biológico_18,Control biológico,Monitoreo integral de plagas,,,,,,
Criollos_mejorados_18,Criollos mejorados,Variedades adecuadas,,,,,,
Cultivos_cobertura_18,Cultivos cobertura,Agrucultura de conservación,,,,,,
Desgranadora_18,Desgranadora,Tecnologías Poscosecha,,,,,,
Desvare_18,Desvare,Agrucultura de conservación,,,,,,
Estudio_mercado_18,Estudio de mercado,Diversificación y acceso a nuevos mercados,,,,,,
Feromonas_18,Feromonas,Manejo integral de plagas,,,,,,
Fertilización_18,Fertilización balanceada (NPK),Fertilización integra,,,,,,
Greenseeker_18,Greenseeker,Herramientas de diagnóstico,,,,,,
Insectos_benéficos_18,Insectos benéficos,Monitoreo integral de plagas,,,,,,
Maíz_hibrídos_MasAgro_18,Maíz híbridos MasAgro,Variedades adecuadas,,,,,,
Maíz_mejorado_MasAgro_18,Maíz mejorado MasAgro,Variedades adecuadas,,,,,,
Maíz_polinización_abierta_18,Maíz polinización abierta,Variedades adecuadas,,,,,,
Mejoradores_suelo_18,Mejoradores suelo,Fertilización integra,,,,,,
Micorrizas_18,Micorrizas,Manejo integral de plagas,,,,,,
Micronutrientes_18,Micronutrientes,Fertilización integra,,,,,,
Monitoreo_plagas_18,Monitoreo plagas,Monitoreo integral de plagas,,,,,,
Nivelación_suelos_18,Nivelación de suelos,Otras: aprovechamiento sustentable del agua,,,,,,
Poscosecha_18,Poscosecha,Tecnologías Poscosecha,,,,,,
Rastra_18,Rastra,Otras: aprovechamiento sustentable del agua,,,,,,
Rastrojo_18,Incorporación de rastrojo,Agrucultura de conservación,,,,,,
Secadora_18,Secadora patio movil,Tecnologías Poscosecha,,,,,,
Semillas_mejoradas_diversas_18,Semillas mejoradas diversas,Variedades adecuadas,,,,,,
Siembra_directa_18,Siembra directa,Agrucultura de conservación,,,,,,
Subsoleo_18,Subsoleo,Agrucultura de conservación,,,,,,
Trampas_colores_18,Trampas de colores,Manejo integral de plagas,,,,,,
Tratamiento_semillas_18,Tratamiento de semillas,Manejo integral de plagas,,,,,,
Riego_goteo_18,Riego por goteo,Otras: aprovechamiento sustentable del agua,,,,,,
,,,,,,,,
